Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
JPV-022_107_086_S26_L001_R1_001_trimmed_1P	9.584017809035402	40.0	130.7463741344776	0.0	28670258.0
JPV-022_107_086_S26_L001_R1_001_trimmed_1U	9.20292154284877	41.0	91.20461819293419	0.0	8587125.0
JPV-022_107_086_S26_L001_R2_001_trimmed_2P	11.210952479342339	40.0	119.30180136502435	0.0	28670258.0
JPV-022_107_086_S26_L001_R2_001_trimmed_2U	26.864957363610557	41.0	40.1454192245254	9.090909090909092	479242.0
JPV-023_132_061_S16_L001_R1_001_trimmed_1P	9.44077948322554	40.0	132.2036415718121	0.0	33006846.0
JPV-023_132_061_S16_L001_R1_001_trimmed_1U	9.446356003074584	41.0	91.16256824643553	0.0	5136532.0
JPV-023_132_061_S16_L001_R2_001_trimmed_2P	11.062331992926815	40.0	118.90218114145169	0.0	33006846.0
JPV-023_132_061_S16_L001_R2_001_trimmed_2U	24.90676953281225	41.0	41.46838629654639	9.090909090909092	490183.0
JPV-029_190_003_S27_L001_R1_001_trimmed_1P	9.557735469554245	40.0	131.08444913807654	0.0	33995942.0
JPV-029_190_003_S27_L001_R1_001_trimmed_1U	9.833965974710338	41.0	89.3638368421274	0.0	5945775.0
JPV-029_190_003_S27_L001_R2_001_trimmed_2P	11.154579794929631	40.0	118.38382698735043	0.0	33995942.0
JPV-029_190_003_S27_L001_R2_001_trimmed_2U	26.11267400724195	41.0	40.88151911851789	9.090909090909092	567408.0
JPV009_178_015_S28_L001_R1_001_trimmed_1P	9.51083688836691	40.0	130.89401180308212	0.0	30662669.0
JPV009_178_015_S28_L001_R1_001_trimmed_1U	9.545152519026502	41.0	90.29009627898085	0.0	6157211.0
JPV009_178_015_S28_L001_R2_001_trimmed_2P	11.033731207099791	40.0	118.52646767311744	0.0	30662669.0
JPV009_178_015_S28_L001_R2_001_trimmed_2U	26.05848155004516	41.0	40.262424215856875	9.090909090909092	524681.0
JPV016_120_073_S17_L001_R1_001_trimmed_1P	9.976582184438328	39.0	131.7807010298224	0.0	30738407.0
JPV016_120_073_S17_L001_R1_001_trimmed_1U	10.073418734346433	40.0	91.23781798514614	0.0	5857467.0
JPV016_120_073_S17_L001_R2_001_trimmed_2P	11.658525775363188	39.0	116.2377538953141	0.0	30738407.0
JPV016_120_073_S17_L001_R2_001_trimmed_2U	26.409828181612454	41.0	38.212146231344846	9.090909090909092	478420.0
SCCA1009_159_034_S36_L002_R1_001_trimmed_1P	10.49440590704836	40.0	135.27796061684035	0.0	110485447.0
SCCA1009_159_034_S36_L002_R1_001_trimmed_1U	10.01974440425893	41.0	88.69446237941602	0.0	8174594.0
SCCA1009_159_034_S36_L002_R2_001_trimmed_2P	11.671404426681931	40.0	127.03249009799454	0.0	110485447.0
SCCA1009_159_034_S36_L002_R2_001_trimmed_2U	20.784888996252732	41.0	56.07061869490491	0.0	1227083.0
SCCA1011_145_048_S31_L002_R1_001_trimmed_1P	9.852193516203002	40.0	135.36689987311388	0.0	85125148.0
SCCA1011_145_048_S31_L002_R1_001_trimmed_1U	8.411363274232471	41.0	93.28578987554401	0.0	9167900.0
SCCA1011_145_048_S31_L002_R2_001_trimmed_2P	10.863802566292918	40.0	128.24452388617286	0.0	85125148.0
SCCA1011_145_048_S31_L002_R2_001_trimmed_2U	19.746915092527985	41.0	57.778254133069424	0.0	986192.0
SCCA1012_109_084_S34_L002_R1_001_trimmed_1P	9.857144684251395	40.0	135.89474594240014	0.0	91344640.0
SCCA1012_109_084_S34_L002_R1_001_trimmed_1U	9.63893902582251	41.0	90.20850137436796	0.0	7129459.0
SCCA1012_109_084_S34_L002_R2_001_trimmed_2P	10.831202781108047	40.0	127.33606365956447	0.0	91344640.0
SCCA1012_109_084_S34_L002_R2_001_trimmed_2U	21.539420805143337	41.0	54.97899962193412	0.0	1015696.0
SCCA1017_147_046_S45_L002_R1_001_trimmed_1P	11.578556049967077	39.0	135.08226124277215	0.0	100546621.0
SCCA1017_147_046_S45_L002_R1_001_trimmed_1U	8.842096979331345	41.0	93.84534580995316	0.0	12788079.0
SCCA1017_147_046_S45_L002_R2_001_trimmed_2P	12.036687184800272	39.0	131.2007840024778	0.0	100546621.0
SCCA1017_147_046_S45_L002_R2_001_trimmed_2U	17.46024494778331	40.0	63.00686324101471	0.0	1116965.0
SCCA1018_157_036_S30_L002_R1_001_trimmed_1P	9.5022796765831	40.0	134.4556788087832	0.0	78646036.0
SCCA1018_157_036_S30_L002_R1_001_trimmed_1U	7.856590315564688	41.0	94.26364478987108	0.0	11876328.0
SCCA1018_157_036_S30_L002_R2_001_trimmed_2P	10.544869661422453	40.0	128.3424388865575	0.0	78646036.0
SCCA1018_157_036_S30_L002_R2_001_trimmed_2U	19.57915502297473	42.0	59.413607376151504	0.0	980674.0
SCCA1020_135_058_S46_L002_R1_001_trimmed_1P	10.618766810673904	40.0	135.5680591528903	0.0	98502710.0
SCCA1020_135_058_S46_L002_R1_001_trimmed_1U	9.761943017489457	41.0	90.64306146940612	0.0	8073561.0
SCCA1020_135_058_S46_L002_R2_001_trimmed_2P	11.711653060204725	40.0	125.52613673268482	0.0	98502710.0
SCCA1020_135_058_S46_L002_R2_001_trimmed_2U	21.982225697998715	41.0	53.45588196027961	0.0	1123554.0
SCCA1026_097_096_S35_L002_R1_001_trimmed_1P	9.756174516673227	40.0	135.4296345377556	0.0	72879895.0
SCCA1026_097_096_S35_L002_R1_001_trimmed_1U	8.653490983206154	41.0	90.82003558349089	0.0	6419269.0
SCCA1026_097_096_S35_L002_R2_001_trimmed_2P	10.718268940776682	40.0	128.16983380670348	0.0	72879895.0
SCCA1026_097_096_S35_L002_R2_001_trimmed_2U	19.442392198372488	41.0	57.27829783531488	0.0	804505.0
SCCA1033_121_072_S33_L002_R1_001_trimmed_1P	9.672893410573167	39.0	135.9866075137192	0.0	104474253.0
SCCA1033_121_072_S33_L002_R1_001_trimmed_1U	8.127832563476744	41.0	91.09474789986602	0.0	9517488.0
SCCA1033_121_072_S33_L002_R2_001_trimmed_2P	10.373916766214862	39.0	130.85028333248766	0.0	104474253.0
SCCA1033_121_072_S33_L002_R2_001_trimmed_2U	18.547899186466708	40.0	60.64127130038328	0.0	1135719.0
SCCA1034_133_060_S32_L002_R1_001_trimmed_1P	9.93616203982215	40.0	135.94935860982764	0.0	93806785.0
SCCA1034_133_060_S32_L002_R1_001_trimmed_1U	8.599228351475915	41.0	91.8980721988119	0.0	8814965.0
SCCA1034_133_060_S32_L002_R2_001_trimmed_2P	10.877805076530777	40.0	128.84550106903248	0.0	93806785.0
SCCA1034_133_060_S32_L002_R2_001_trimmed_2U	19.607682885530238	41.0	57.98473423022695	0.0	1026283.0
SCCA1040_169_024_S29_L002_R1_001_trimmed_1P	9.74479289897829	40.0	134.91998763608893	0.0	90126821.0
SCCA1040_169_024_S29_L002_R1_001_trimmed_1U	8.629606323809796	41.0	91.72941988135607	0.0	8002432.0
SCCA1040_169_024_S29_L002_R2_001_trimmed_2P	10.874190228499074	40.0	127.69126704247118	0.0	90126821.0
SCCA1040_169_024_S29_L002_R2_001_trimmed_2U	20.378618073211484	41.0	57.55703411065455	0.0	1072744.0
SQT017_165_028_S37_L001_R1_001_trimmed_1P	9.554042123146118	40.0	130.86110877388847	0.0	36760155.0
SQT017_165_028_S37_L001_R1_001_trimmed_1U	9.668413498231203	41.0	90.13133824455534	0.0	6699351.0
SQT017_165_028_S37_L001_R2_001_trimmed_2P	11.354764212545845	40.0	116.1813890882669	0.0	36760155.0
SQT017_165_028_S37_L001_R2_001_trimmed_2U	26.473458176958815	41.0	38.99648835821272	9.090909090909092	633322.0
SQT019_189_004_S35_L001_R1_001_trimmed_1P	9.893164154818834	39.0	133.3623598511078	0.0	38936626.0
SQT019_189_004_S35_L001_R1_001_trimmed_1U	9.425136189729528	40.0	92.6179369079508	0.0	9521485.0
SQT019_189_004_S35_L001_R2_001_trimmed_2P	11.237746868658647	39.0	120.0281801253144	0.0	38936626.0
SQT019_189_004_S35_L001_R2_001_trimmed_2U	23.3480200169803	40.0	42.1502736318408	9.090909090909092	522600.0
SQT031_106_087_S34_L001_R1_001_trimmed_1P	9.758921411814285	40.0	131.76841037274477	0.0	38104090.0
SQT031_106_087_S34_L001_R1_001_trimmed_1U	9.481048016346122	41.0	91.22012526789163	0.0	16746510.0
SQT031_106_087_S34_L001_R2_001_trimmed_2P	10.915467789639848	40.0	120.24798054487064	0.0	38104090.0
SQT031_106_087_S34_L001_R2_001_trimmed_2U	23.409530450688848	41.0	44.034098723404256	9.090909090909092	587500.0
SQT034_130_063_S32_L001_R1_001_trimmed_1P	9.702596744819246	40.0	132.67214574593933	0.0	36999343.0
SQT034_130_063_S32_L001_R1_001_trimmed_1U	9.640854272609445	41.0	92.06452076177692	0.0	7715067.0
SQT034_130_063_S32_L001_R2_001_trimmed_2P	11.221983769063499	40.0	117.95902927249276	0.0	36999343.0
SQT034_130_063_S32_L001_R2_001_trimmed_2U	24.86907419645142	41.0	40.08384009514406	9.090909090909092	534768.0
SQT047_118_075_S33_L001_R1_001_trimmed_1P	9.75265997425727	39.0	131.98626780159023	0.0	37519120.0
SQT047_118_075_S33_L001_R1_001_trimmed_1U	10.028054290893238	40.0	88.30872440823197	0.0	5746086.0
SQT047_118_075_S33_L001_R2_001_trimmed_2P	11.487527179753513	40.0	117.14285284409655	0.0	37519120.0
SQT047_118_075_S33_L001_R2_001_trimmed_2U	27.067672038608734	41.0	38.05783741975146	9.090909090909092	598609.0
SQT056_177_016_S36_L001_R1_001_trimmed_1P	9.46012673939346	39.0	132.40056318669602	0.0	36930915.0
SQT056_177_016_S36_L001_R1_001_trimmed_1U	9.182868372916815	41.0	91.82604750505782	0.0	7991107.0
SQT056_177_016_S36_L001_R2_001_trimmed_2P	11.059234929042503	40.0	118.37257831277671	0.0	36930915.0
SQT056_177_016_S36_L001_R2_001_trimmed_2U	25.284285236815563	40.0	40.02283142810904	9.090909090909092	543768.0
SQT096_153_040_S38_L001_R1_001_trimmed_1P	10.13358766077367	40.0	131.29181825418024	0.0	39410403.0
SQT096_153_040_S38_L001_R1_001_trimmed_1U	10.630313246511676	41.0	88.1357406073135	0.0	5528051.0
SQT096_153_040_S38_L001_R2_001_trimmed_2P	12.048738731234394	40.0	116.74810805664687	0.0	39410403.0
SQT096_153_040_S38_L001_R2_001_trimmed_2U	29.338399340457286	42.0	37.97720338162592	9.090909090909092	640402.0
SQT118_141_052_S39_L001_R1_001_trimmed_1P	10.146665836645468	40.0	132.04807477777314	0.0	41934172.0
SQT118_141_052_S39_L001_R1_001_trimmed_1U	9.880031563111032	41.0	91.32372577485917	0.0	8860836.0
SQT118_141_052_S39_L001_R2_001_trimmed_2P	11.665980506551648	40.0	119.20899840349774	0.0	41934172.0
SQT118_141_052_S39_L001_R2_001_trimmed_2U	26.011675581546896	41.0	40.61589868981523	9.090909090909092	643726.0
