Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
JPV009_R1_7x	12.040357425584986	41.0	151.0	9.090909090909092	110345555.0
JPV009_R2_7x	11.265791527841458	41.0	151.0	9.090909090909092	110345555.0
JPV016_R1_7x	12.863104311032103	40.0	151.0	9.090909090909092	109632318.0
JPV016_R2_7x	11.859715866097275	40.0	151.0	9.090909090909092	109632318.0
JPV023_R1_7x	11.821335435235554	40.0	151.0	0.0	112701748.0
JPV023_R2_7x	11.061995747098024	40.0	151.0	0.0	112701748.0
JPV029_R1_7x	11.732172364638089	40.0	151.0	9.090909090909092	113454683.0
JPV029_R2_7x	10.990301802322165	40.0	151.0	9.090909090909092	113454683.0
SCCA1009_159_034_S36_L002_R1_001	10.532691306803216	40.0	151.0	0.0	120294426.0
SCCA1009_159_034_S36_L002_R2_001	10.09141486306443	40.0	151.0	0.0	120294426.0
SCCA1011_145_048_S31_L002_R1_001	9.75731772367375	40.0	151.0	0.0	95639220.0
SCCA1011_145_048_S31_L002_R2_001	9.38675540227834	40.0	151.0	0.0	95639220.0
SCCA1012_109_084_S34_L002_R1_001	9.851379152022545	40.0	151.0	0.0	99843569.0
SCCA1012_109_084_S34_L002_R2_001	9.26252142399531	40.0	151.0	0.0	99843569.0
SCCA1017_147_046_S45_L002_R1_001	11.814845294197198	40.0	151.0	0.0	114847007.0
SCCA1017_147_046_S45_L002_R2_001	11.485589221338358	40.0	151.0	0.0	114847007.0
SCCA1018_157_036_S30_L002_R1_001	9.388316104611377	40.0	151.0	0.0	91911389.0
SCCA1018_157_036_S30_L002_R2_001	9.091362645585193	41.0	151.0	0.0	91911389.0
SCCA1020_135_058_S46_L002_R1_001	10.577145980592604	40.0	151.0	0.0	108110457.0
SCCA1020_135_058_S46_L002_R2_001	9.938027571878706	40.0	151.0	0.0	108110457.0
SCCA1026_097_096_S35_L002_R1_001	9.740482340958536	40.0	151.0	0.0	80372558.0
SCCA1026_097_096_S35_L002_R2_001	9.422940861314657	40.0	151.0	0.0	80372558.0
SCCA1033_121_072_S33_L002_R1_001	9.454819699138653	40.0	151.0	0.0	115504873.0
SCCA1033_121_072_S33_L002_R2_001	9.202568070515426	39.0	151.0	0.0	115504873.0
SCCA1034_133_060_S32_L002_R1_001	9.970420664474815	40.0	151.0	0.0	104012788.0
SCCA1034_133_060_S32_L002_R2_001	9.508001770141277	40.0	151.0	0.0	104012788.0
SCCA1040_169_024_S29_L002_R1_001	9.61926535380914	40.0	151.0	0.0	99586265.0
SCCA1040_169_024_S29_L002_R2_001	9.223056480213657	40.0	151.0	0.0	99586265.0
SQT017_R1_7x	11.872504206604233	40.0	151.0	9.090909090909092	122261178.0
SQT017_R2_7x	11.114054889629145	40.0	151.0	9.090909090909092	122261178.0
SQT019_R1_7x	13.011206248708746	40.0	151.0	9.090909090909092	139986599.0
SQT019_R2_7x	12.461444415070673	40.0	151.0	9.090909090909092	139986599.0
SQT031_R1_7x	13.125379523582211	41.0	151.0	9.090909090909092	155635514.0
SQT031_R2_7x	12.58023409484683	41.0	151.0	9.090909090909092	155635514.0
SQT034_R1_7x	12.873116488066543	40.0	151.0	9.090909090909092	142764954.0
SQT034_R2_7x	12.19061663393552	40.0	151.0	9.090909090909092	142764954.0
SQT047_R1_7x	11.960620669059168	40.0	151.0	0.0	117296514.0
SQT047_R2_7x	11.225299673004045	40.0	151.0	0.0	117296514.0
SQT056_R1_7x	12.149370624878841	40.0	151.0	9.090909090909092	124158122.0
SQT056_R2_7x	11.512481884846494	40.0	151.0	9.090909090909092	124158122.0
SQT096_R1_7x	12.171040275172345	40.0	151.0	0.0	114513861.0
SQT096_R2_7x	11.233245884404411	40.0	151.0	0.0	114513861.0
SQT118_R1_7x	12.641331852392739	40.0	151.0	9.090909090909092	130118648.0
SQT118_R2_7x	11.905291049145617	40.0	151.0	9.090909090909092	130118648.0
SQT121_R1_7x	11.422154460383865	40.0	151.0	9.090909090909092	100079901.0
SQT121_R2_7x	10.724448156339747	40.0	151.0	9.090909090909092	100079901.0
scaa0503_R1_7x	13.195694552503184	40.0	151.0	9.090909090909092	145803479.0
scaa0503_R2_7x	12.442762306691492	41.0	151.0	9.090909090909092	145803479.0
scca0200_R1_7x	12.036895562232175	41.0	151.0	9.090909090909092	152946233.0
scca0200_R2_7x	11.821602963178506	41.0	151.0	9.090909090909092	152946233.0
scca0201_R1_7x	11.008840750278083	40.0	151.0	9.090909090909092	134418524.0
scca0201_R2_7x	10.981731642646096	41.0	151.0	9.090909090909092	134418524.0
scca0207_R1_7x	10.887299734013823	40.0	151.0	9.090909090909092	130194751.0
scca0207_R2_7x	10.821656816523003	41.0	151.0	9.090909090909092	130194751.0
scca0506_R1_7x	12.914132097512436	41.0	151.0	9.090909090909092	131068840.0
scca0506_R2_7x	12.323115080353091	41.0	151.0	9.090909090909092	131068840.0
scca0507_R1_7x	13.237813539746625	40.0	151.0	9.090909090909092	142256347.0
scca0507_R2_7x	12.79821385350644	40.0	151.0	9.090909090909092	142256347.0
scca0509_R1_7x	12.694386282055973	41.0	151.0	9.090909090909092	138309509.0
scca0509_R2_7x	12.06134007822422	41.0	151.0	9.090909090909092	138309509.0
scca0539_R1_7x	12.713888386932638	40.0	151.0	9.090909090909092	106888250.0
scca0539_R2_7x	11.905541945866247	40.0	151.0	9.090909090909092	106888250.0
scca0540_R1_7x	11.905837447351516	40.0	151.0	9.090909090909092	112055313.0
scca0540_R2_7x	11.279066257382027	40.0	151.0	9.090909090909092	112055313.0
scca0548_R1_7x	15.178962536185708	40.0	151.0	9.090909090909092	131522956.0
scca0548_R2_7x	14.639109797483101	41.0	151.0	9.090909090909092	131522956.0
